"h","doy","hod","out_T","out_RH","gal_T","gal_RH","case_T","case_RH","hvac","gal_M_fix","case_M_fix","gal_M_pkg","gal_LIM","case_LIM","gal_DP"
630,178,5,24.69,98,24.37,75.24,24.63,67.61,0,0.4968,0,0.7147,74.6,74.56,19.7
631,178,6,25.01,97.69,24.41,77.41,24.58,67.72,0,0.4961,0,0.7147,74.59,74.57,20.21
632,178,7,26,97.47,24.48,78.72,24.56,67.84,0,0.4954,0,0.7147,74.58,74.57,20.54
633,178,8,28.24,97.15,24.71,79.78,24.59,67.98,0,0.4948,0,0.7147,74.55,74.56,20.98
634,178,9,28.58,97.3,24.3,71.11,24.53,68.01,1,0.4941,0,0.7147,74.61,74.57,18.73
635,178,10,29.15,93.45,24.1,65.59,24.45,67.98,1,0.4934,0,0.7147,74.64,74.59,17.25
636,178,11,29.24,90.83,24.05,61.75,24.37,67.91,1,0.4928,0,0.7147,74.65,74.6,16.26
637,178,12,30.03,86.27,24.08,59.38,24.31,67.82,1,0.4921,0,0.7147,74.65,74.61,15.67
638,178,13,30.77,83.78,24.07,57.87,24.26,67.71,1,0.4914,0,0.7147,74.65,74.62,15.26
639,178,14,30.97,83.85,23.91,56.23,24.19,67.58,1,0.4908,0,0.7147,74.68,74.63,14.66
640,178,15,31.26,83.58,24.05,55.89,24.16,67.45,1,0.4901,0,0.7147,74.65,74.63,14.69
641,178,16,31.04,86.95,24.01,55.73,24.13,67.32,1,0.4894,0,0.7147,74.66,74.64,14.62
642,178,17,29.55,86.1,24.36,57.53,24.18,67.21,0,0.4888,0,0.7147,74.6,74.63,15.44
643,178,18,28.37,83.27,24.52,59.22,24.24,67.12,0,0.4881,0,0.7147,74.58,74.62,16.04
644,178,19,28.93,84.87,24.8,61.19,24.35,67.06,0,0.4874,0,0.7147,74.53,74.6,16.82
645,178,20,29.51,89.36,25.13,63.13,24.51,67.01,0,0.4868,0,0.7147,74.49,74.58,17.62
646,178,21,28.13,90.44,25.33,64.63,24.67,66.99,0,0.4861,0,0.7147,74.46,74.55,18.18
647,178,22,27.86,86.37,25.38,66.16,24.82,66.98,0,0.4854,0,0.7147,74.45,74.53,18.61
648,178,23,28.07,91.23,25.45,67.87,24.94,66.99,0,0.4848,0,0.7147,74.45,74.51,19.08
649,179,0,26,99,25.32,69.53,25.02,67.02,0,0.4841,0,0.7147,74.46,74.5,19.34
650,179,1,26.09,97.32,25.28,71.35,25.07,67.06,0,0.4834,0,0.7147,74.47,74.49,19.73
651,179,2,26.89,95.59,25.37,72.74,25.13,67.13,0,0.4828,0,0.7147,74.46,74.49,20.12
652,179,3,26.44,92,25.28,73.94,25.16,67.2,0,0.4821,0,0.7147,74.47,74.48,20.3
653,179,4,27.09,91.5,25.31,75.06,25.19,67.29,0,0.4814,0,0.7147,74.46,74.48,20.58
654,179,5,27.16,88.74,25.34,76.04,25.22,67.39,0,0.4808,0,0.7147,74.46,74.47,20.81
655,179,6,27.42,86.85,25.44,76.76,25.26,67.49,0,0.4801,0,0.7147,74.45,74.47,21.06
656,179,7,27.33,88.22,25.49,77.35,25.31,67.6,0,0.4794,0,0.7147,74.44,74.46,21.24
657,179,8,28.4,86.85,25.58,78.03,25.36,67.72,0,0.4787,0,0.7147,74.43,74.46,21.46
658,179,9,30,87.07,24.63,69.21,25.22,67.73,1,0.4781,0,0.7147,74.56,74.48,18.61
659,179,10,29.84,83.45,24.26,63.79,25.03,67.69,1,0.4774,0,0.7147,74.62,74.5,16.97
660,179,11,32.46,80.47,24.14,60.24,24.85,67.61,1,0.4767,0,0.7147,74.64,74.53,15.95
661,179,12,32.01,73.35,23.93,58.42,24.66,67.51,1,0.4761,0,0.7147,74.67,74.55,15.28
662,179,13,33.8,72.67,24.01,57.25,24.53,67.39,1,0.4754,0,0.7147,74.66,74.57,15.04
663,179,14,33.73,70,24.04,56.17,24.44,67.27,1,0.4747,0,0.7147,74.65,74.59,14.77
664,179,15,32.86,73.65,24.01,55.94,24.35,67.14,1,0.4741,0,0.7147,74.66,74.6,14.68
665,179,16,32.86,76.14,24.04,55.72,24.29,67.01,1,0.4734,0,0.7147,74.65,74.61,14.65
666,179,17,31.89,77.04,24.52,57.41,24.34,66.91,0,0.4727,0,0.7147,74.58,74.6,15.56
667,179,18,31.45,78.54,24.9,58.98,24.45,66.82,0,0.4721,0,0.7147,74.52,74.59,16.34
668,179,19,30.31,75.1,25.36,59.99,24.63,66.74,0,0.4714,0,0.7147,74.46,74.56,17.04
669,179,20,29.41,77.62,25.64,61.62,24.83,66.69,0,0.4707,0,0.7147,74.42,74.53,17.73
670,179,21,28.54,85.37,25.71,62.88,25.01,66.64,0,0.4701,0,0.7147,74.41,74.5,18.11
671,179,22,27.08,87.56,25.81,64.86,25.17,66.62,0,0.4694,0,0.7147,74.4,74.48,18.7
672,179,23,26.83,90.21,25.71,66.65,25.28,66.62,0,0.4687,0,0.7147,74.41,74.47,19.04
673,180,0,26.18,95.2,25.66,68.57,25.35,66.65,0,0.4681,0,0.7147,74.42,74.46,19.44
674,180,1,27.19,98,25.65,70.29,25.41,66.69,0,0.4674,0,0.7147,74.42,74.45,19.84
675,180,2,26.79,98,25.7,72.04,25.47,66.75,0,0.4667,0,0.7147,74.41,74.44,20.28
676,180,3,25.06,99,25.5,74.26,25.48,66.83,0,0.4661,0,0.7147,74.44,74.44,20.58
677,180,4,27.67,98,25.64,76.17,25.51,66.93,0,0.4654,0,0.7147,74.42,74.44,21.13
678,180,5,27.3,94.06,25.72,77.01,25.55,67.05,0,0.4647,0,0.7147,74.41,74.43,21.39
679,180,6,28.53,92.17,25.8,77.48,25.6,67.16,0,0.4641,0,0.7147,74.4,74.43,21.56
680,180,7,26.83,99,25.86,78.68,25.65,67.29,0,0.4634,0,0.7147,74.4,74.42,21.87
681,180,8,27.85,89.1,25.9,79.35,25.7,67.42,0,0.4627,0,0.7147,74.39,74.41,22.05
682,180,9,29.09,85.53,26.12,80.16,25.79,67.56,0,0.3484,0,0.7147,74.37,74.4,22.43
683,180,10,30.86,86.69,26.43,80.17,25.92,67.7,0,0.3485,0,0.7147,74.34,74.39,22.74
684,180,11,31.2,84.78,26.79,80.64,26.09,67.85,0,0.351,0,0.7147,74.3,74.37,23.18
685,180,12,30.95,80.6,27.06,81.35,26.28,68,0,0.3567,0,0.7147,74.28,74.35,23.59
686,180,13,31.07,78.04,27.31,81.66,26.49,68.15,0,0.3635,0,0.7165,74.26,74.33,23.9
687,180,14,31.22,72.73,27.5,81.17,26.69,68.3,0,0.3684,0,0.7165,74.25,74.31,23.99
688,180,15,32.68,72.63,27.83,81.03,26.92,68.44,0,0.3725,0,0.7165,74.23,74.29,24.28
689,180,16,33.64,72.8,28.21,80.68,27.18,68.57,0,0.375,0,0.7165,74.21,74.27,24.58
690,180,17,33.46,70.45,28.53,80.28,27.45,68.7,0,0.3751,0,0.7165,74.19,74.25,24.8
691,180,18,32.44,69.9,28.76,79.74,27.71,68.83,0,0.3738,0,0.7165,74.18,74.23,24.91
692,180,19,30.96,74.07,28.89,79.26,27.95,68.94,0,0.3725,0,0.7165,74.18,74.22,24.93
693,180,20,29.31,75.86,28.94,79.14,28.14,69.05,0,0.3711,0,0.7165,74.18,74.21,24.96
694,180,21,27.86,77.13,28.79,79.43,28.27,69.17,0,0.3698,0,0.7165,74.18,74.2,24.87
695,180,22,26.76,80.2,28.59,79.78,28.34,69.29,0,0.3685,0,0.7165,74.19,74.2,24.76
696,180,23,26.2,80.47,28.37,79.95,28.34,69.41,0,0.3671,0,0.7165,74.2,74.2,24.57
697,181,0,25.84,82.71,28.02,80.01,28.28,69.52,0,0.3039,0,0.7165,74.22,74.2,24.25
698,181,1,25.24,85.83,27.74,81.07,28.17,69.65,0,0.309,0,0.7165,74.23,74.21,24.2
699,181,2,26.11,90.11,27.44,81.95,28.03,69.79,0,0.3173,0,0.72,74.25,74.22,24.08
700,181,3,26.69,91.6,27.2,83.37,27.86,69.94,0,0.3303,0,0.7314,74.27,74.22,24.13
701,181,4,27.7,88.82,27.11,83.57,27.71,70.09,0,0.3437,0,0.7436,74.28,74.23,24.08
702,181,5,26.87,88.57,26.97,83.33,27.56,70.24,0,0.3563,0,0.7545,74.29,74.24,23.9
703,181,6,27.54,85.83,26.85,83.75,27.42,70.39,0,0.3702,0,0.7671,74.3,74.25,23.87
704,181,7,27.14,96.11,26.74,84.75,27.28,70.55,0,0.3872,0,0.7834,74.31,74.26,23.96
705,181,8,30.99,84.58,26.94,84.76,27.22,70.71,0,0.4044,0,0.7998,74.29,74.27,24.16
706,181,9,31.9,81.08,25.36,74.63,26.85,70.75,1,0.403,0,0.7998,74.46,74.3,20.53
707,181,10,31.58,76.93,24.56,68.13,26.39,70.72,1,0.4017,0,0.7998,74.57,74.34,18.3
708,181,11,30.54,81.78,24.25,63.63,25.96,70.64,1,0.4004,0,0.7998,74.62,74.38,16.92
709,181,12,31.58,69.66,24.07,60.36,25.58,70.53,1,0.399,0,0.7998,74.65,74.43,15.92
710,181,13,32.13,67.27,24.12,58.39,25.29,70.39,1,0.3977,0,0.7998,74.64,74.47,15.45
711,181,14,32.52,67.03,24.02,57.64,25.04,70.25,1,0.3964,0,0.7998,74.66,74.5,15.15
712,181,15,34.31,66.52,23.99,56.95,24.83,70.1,1,0.3964,0,0.7998,74.66,74.53,14.93
713,181,16,34.41,69.91,24.02,55.93,24.66,69.95,1,0.3964,0,0.7998,74.66,74.55,14.69
714,181,17,35.58,67.73,24.91,56.42,24.71,69.8,0,0.3964,0,0.7998,74.52,74.55,15.65
715,181,18,34.91,71.08,25.62,57.66,24.9,69.66,0,0.3964,0,0.7998,74.42,74.52,16.65
716,181,19,33.45,75.14,26.21,58.92,25.16,69.54,0,0.3964,0,0.7998,74.36,74.48,17.55
717,181,20,31.13,88.52,26.46,60.51,25.42,69.44,0,0.3964,0,0.7998,74.33,74.45,18.2
718,181,21,31.25,82.8,26.82,62.26,25.7,69.36,0,0.3964,0,0.7998,74.3,74.41,19
719,181,22,28.95,84.4,26.89,63.79,25.94,69.3,0,0.3964,0,0.7998,74.29,74.39,19.45
720,181,23,29.1,85.59,26.97,64.88,26.14,69.25,0,0.3964,0,0.7998,74.29,74.36,19.8
721,182,0,26.68,87.3,26.85,66.56,26.28,69.22,0,0.3964,0,0.7998,74.3,74.35,20.1
722,182,1,25.6,87.66,26.67,67.62,26.36,69.2,0,0.3964,0,0.7998,74.31,74.34,20.19
723,182,2,26.47,87.92,26.49,69.37,26.39,69.2,0,0.3964,0,0.7998,74.33,74.34,20.43
724,182,3,27.46,85.53,26.48,70.34,26.41,69.22,0,0.3964,0,0.7998,74.33,74.34,20.64
725,182,4,28.42,85.56,26.48,71.43,26.42,69.24,0,0.3964,0,0.7998,74.33,74.34,20.89
726,182,5,28.2,85.69,26.5,71.99,26.44,69.27,0,0.3964,0,0.7998,74.33,74.33,21.04
727,182,6,27.63,83.84,26.49,72.69,26.45,69.31,0,0.3964,0,0.7998,74.33,74.33,21.19
728,182,7,27.51,84.92,26.46,73.39,26.45,69.36,0,0.3964,0,0.7998,74.33,74.33,21.31
729,182,8,28.77,81.08,26.53,74.25,26.47,69.41,0,0.3964,0,0.7998,74.33,74.33,21.58
730,182,9,30.16,76.6,25.2,66.87,26.21,69.38,1,0.3957,0,0.7998,74.48,74.36,18.61
731,182,10,31.31,77.35,24.56,62.69,25.88,69.31,1,0.3951,0,0.7998,74.57,74.39,16.97
732,182,11,32.17,74.67,24.27,59.54,25.56,69.2,1,0.3944,0,0.7998,74.61,74.43,15.89
733,182,12,32.75,72.47,24.18,58.02,25.28,69.07,1,0.3937,0,0.7998,74.63,74.47,15.4
734,182,13,32.62,65.51,24.13,56.62,25.05,68.94,1,0.3931,0,0.7998,74.64,74.5,14.98
735,182,14,32.79,64.55,24.09,56.38,24.86,68.8,1,0.3924,0,0.7998,74.64,74.52,14.88
736,182,15,34.17,63.79,24.06,55.73,24.7,68.65,1,0.3917,0,0.7998,74.65,74.55,14.67
737,182,16,34.04,67.12,24.04,55.42,24.57,68.5,1,0.3911,0,0.7998,74.65,74.57,14.56
738,182,17,32.09,66.84,24.6,56.19,24.58,68.37,0,0.3904,0,0.7998,74.56,74.57,15.3
739,182,18,32.54,65.45,25.09,57.03,24.68,68.24,0,0.3897,0,0.7998,74.49,74.55,15.98
740,182,19,31.03,68.62,25.43,57.75,24.83,68.13,0,0.389,0,0.7998,74.45,74.53,16.5
741,182,20,30.14,74.24,25.73,59.31,25.01,68.03,0,0.3884,0,0.7998,74.41,74.5,17.2
742,182,21,29.24,79.82,26.03,60.89,25.21,67.95,0,0.3877,0,0.7998,74.38,74.48,17.89
743,182,22,28.77,79.46,26.19,62.19,25.41,67.88,0,0.387,0,0.7998,74.36,74.45,18.39
744,182,23,25.98,85.94,26.07,64.04,25.54,67.84,0,0.3864,0,0.7998,74.37,74.43,18.74
745,183,0,23.38,94.03,25.75,65.58,25.58,67.82,0,0.3857,0,0.7998,74.41,74.43,18.82
746,183,1,24,86.39,25.49,66.54,25.56,67.8,0,0.385,0,0.7998,74.44,74.43,18.8
747,183,2,24.26,84.57,25.27,67.5,25.5,67.8,0,0.3844,0,0.7998,74.47,74.44,18.82
748,183,3,25.18,88.13,25.15,68.56,25.43,67.81,0,0.3837,0,0.7998,74.48,74.45,18.95
749,183,4,24.78,88.25,25.1,69.98,25.37,67.83,0,0.383,0,0.7998,74.49,74.46,19.24
750,183,5,26.41,87.73,25.13,71.13,25.32,67.87,0,0.3824,0,0.7998,74.49,74.46,19.53
751,183,6,25.64,87.66,25.07,72.07,25.27,67.91,0,0.3817,0,0.7998,74.49,74.47,19.69
752,183,7,27.7,82.39,25.13,72.26,25.24,67.96,0,0.381,0,0.7998,74.49,74.47,19.79
753,183,8,28.37,82.18,25.29,72.87,25.25,68.02,0,0.3804,0,0.7998,74.46,74.47,20.08
754,183,9,29.54,79.99,24.57,67.1,25.12,68.01,1,0.3797,0,0.7998,74.57,74.49,18.06
755,183,10,28.34,89.17,24.22,63.17,24.94,67.95,1,0.379,0,0.7998,74.62,74.51,16.78
756,183,11,31.42,78.84,24.13,60.04,24.78,67.87,1,0.3784,0,0.7998,74.64,74.54,15.89
757,183,12,34.72,77.14,24.05,57.9,24.63,67.75,1,0.3777,0,0.7998,74.65,74.56,15.25
758,183,13,34.66,71.65,24.08,57.06,24.52,67.64,1,0.377,0,0.7998,74.65,74.58,15.05
759,183,14,33.2,71.8,24.08,56.44,24.43,67.51,1,0.3764,0,0.7998,74.65,74.59,14.88
760,183,15,32.61,73.72,23.96,55.6,24.34,67.38,1,0.3757,0,0.7998,74.67,74.6,14.54
761,183,16,31.5,72.6,23.89,55.54,24.25,67.25,1,0.375,0,0.7998,74.68,74.62,14.46
762,183,17,33.17,75.29,24.64,56.89,24.33,67.13,0,0.3744,0,0.7998,74.56,74.61,15.52
763,183,18,32.28,77.13,25.19,58.26,24.5,67.03,0,0.3737,0,0.7998,74.48,74.58,16.41
764,183,19,32.08,85.48,25.62,60.28,24.72,66.96,0,0.373,0,0.7998,74.42,74.54,17.35
765,183,20,30.87,83.9,26.03,62.08,24.98,66.9,0,0.3724,0,0.7998,74.38,74.51,18.2
766,183,21,30.63,87.67,26.26,63.39,25.24,66.87,0,0.3717,0,0.7998,74.35,74.47,18.76
767,183,22,30.42,91.69,26.43,65.34,25.48,66.85,0,0.371,0,0.7998,74.34,74.44,19.4
768,183,23,30.29,95.95,26.74,66.84,25.73,66.85,0,0.3704,0,0.7998,74.31,74.41,20.07
769,184,0,29.27,98,26.82,69,25.95,66.87,0,0.3697,0,0.7998,74.3,74.39,20.65
770,184,1,29.94,98,26.94,70.29,26.15,66.91,0,0.369,0,0.7998,74.29,74.36,21.08
771,184,2,29.28,98,26.99,71.81,26.32,66.96,0,0.3684,0,0.7998,74.28,74.35,21.47
772,184,3,29.24,98,27.09,73.03,26.47,67.03,0,0.3677,0,0.7998,74.28,74.33,21.84
773,184,4,28.88,98,27.15,75.09,26.61,67.12,0,0.367,0,0.7998,74.27,74.32,22.35
774,184,5,31.57,98,27.31,76.8,26.75,67.23,0,0.3664,0,0.7998,74.26,74.31,22.88
775,184,6,30.58,98,27.41,78.37,26.88,67.35,0,0.3657,0,0.7998,74.25,74.29,23.31
776,184,7,31.19,97.46,27.57,79.63,27.02,67.49,0,0.365,0,0.7998,74.24,74.28,23.73
777,184,8,32.3,96.04,27.96,80.32,27.21,67.63,0,0.3656,0,0.7998,74.22,74.27,24.26
778,184,9,33.01,91.66,25.83,71.45,26.93,67.67,1,0.3643,0,0.7998,74.4,74.29,20.27
779,184,10,31.46,89.45,24.8,65.44,26.51,67.65,1,0.363,0,0.7998,74.53,74.33,17.89
780,184,11,32.68,84.24,24.32,62.07,26.07,67.59,1,0.3616,0,0.7998,74.61,74.37,16.59
781,184,12,33.12,79.76,24.09,59.7,25.67,67.5,1,0.3603,0,0.7998,74.64,74.42,15.77
782,184,13,34.83,82.66,24.03,58.41,25.34,67.4,1,0.359,0,0.7998,74.65,74.46,15.36
783,184,14,34.2,80.15,24.01,57.04,25.08,67.28,1,0.3576,0,0.7998,74.66,74.49,14.98
784,184,15,32.61,78.5,24.05,55.84,24.87,67.16,1,0.3576,0,0.7998,74.65,74.52,14.69
785,184,16,29.02,88.68,24.03,55.66,24.7,67.03,1,0.3576,0,0.7998,74.65,74.55,14.62
786,184,17,30.2,78.73,24.34,57.37,24.63,66.92,0,0.3576,0,0.7998,74.6,74.56,15.38
787,184,18,29.23,80.38,24.64,59.04,24.63,66.83,0,0.3576,0,0.7998,74.56,74.56,16.1
788,184,19,28.36,82.78,24.87,60.76,24.68,66.77,0,0.3576,0,0.7998,74.52,74.55,16.77
789,184,20,27.62,83.91,24.96,62.7,24.74,66.72,0,0.3576,0,0.7998,74.51,74.54,17.36
790,184,21,25.97,85.38,24.97,64.58,24.78,66.7,0,0.3576,0,0.7998,74.51,74.54,17.83
791,184,22,25.52,87.83,24.9,66.11,24.81,66.69,0,0.3576,0,0.7998,74.52,74.53,18.13
792,184,23,25.69,88.42,24.96,67.4,24.84,66.7,0,0.3576,0,0.7998,74.51,74.53,18.51
793,185,0,24.88,90.28,24.89,68.5,24.85,66.72,0,0.3576,0,0.7998,74.52,74.53,18.69
794,185,1,26.32,91.79,24.92,70.14,24.86,66.76,0,0.3576,0,0.7998,74.52,74.52,19.11
795,185,2,25.04,96.85,24.83,72.08,24.86,66.82,0,0.3576,0,0.7998,74.53,74.53,19.45
796,185,3,25.03,95.05,24.73,72.9,24.83,66.88,0,0.3576,0,0.7998,74.54,74.53,19.55
797,185,4,25.44,96.16,24.7,74.95,24.8,66.97,0,0.3576,0,0.7998,74.55,74.53,19.95
798,185,5,25.04,96.25,24.61,76.35,24.77,67.08,0,0.3576,0,0.7998,74.56,74.54,20.18
799,185,6,24.9,95.97,24.54,77.53,24.72,67.19,0,0.3576,0,0.7998,74.57,74.54,20.35
800,185,7,25.49,92.48,24.58,78.85,24.69,67.32,0,0.3576,0,0.7998,74.57,74.55,20.67
801,185,8,26.51,93.16,24.73,79.28,24.7,67.46,0,0.3576,0,0.7998,74.54,74.55,20.9
802,185,9,26.38,90.06,24.28,70.66,24.62,67.49,1,0.357,0,0.7998,74.61,74.56,18.61
803,185,10,27.69,87.15,24.16,64.82,24.52,67.46,1,0.3563,0,0.7998,74.63,74.57,17.12
804,185,11,28.55,88.04,24.15,61.53,24.45,67.4,1,0.3556,0,0.7998,74.64,74.59,16.29
805,185,12,30.34,81.27,23.96,59.2,24.35,67.31,1,0.355,0,0.7998,74.67,74.6,15.52
806,185,13,30.93,75.95,23.95,58.25,24.27,67.2,1,0.3543,0,0.7998,74.67,74.61,15.25
807,185,14,31.64,70.69,23.99,57.16,24.21,67.09,1,0.3536,0,0.7998,74.66,74.62,14.99
808,185,15,30.63,69.96,24,56.45,24.17,66.97,1,0.353,0,0.7998,74.66,74.63,14.8
809,185,16,29.61,71.1,23.89,56.53,24.11,66.86,1,0.3523,0,0.7998,74.68,74.64,14.72
810,185,17,30.28,71.43,24.26,57.31,24.14,66.75,0,0.3516,0,0.7998,74.62,74.64,15.28
811,185,18,29.93,69.92,24.58,57.4,24.23,66.65,0,0.351,0,0.7998,74.57,74.62,15.61
812,185,19,28.25,69.62,24.77,57.97,24.34,66.55,0,0.3503,0,0.7998,74.54,74.6,15.95
813,185,20,26.32,72.34,24.84,59.12,24.44,66.47,0,0.3496,0,0.7998,74.53,74.59,16.32
814,185,21,24.8,76.26,24.72,60.76,24.5,66.41,0,0.349,0,0.7998,74.55,74.58,16.63
815,185,22,22.38,78.79,24.31,62.39,24.46,66.36,0,0.3483,0,0.7998,74.61,74.58,16.66
816,185,23,21.84,80.82,23.99,63.29,24.36,66.33,0,0.3476,0,0.7998,74.66,74.6,16.58
817,186,0,23.19,84.23,23.71,64.8,24.23,66.31,0,0.347,0,0.7998,74.71,74.62,16.69
818,186,1,22.35,85.77,23.49,66.82,24.08,66.32,0,0.3463,0,0.7998,74.75,74.65,16.97
819,186,2,20.93,94.09,23.23,68.3,23.91,66.34,0,0.3456,0,0.7998,74.8,74.67,17.06
820,186,3,23.19,85.01,23.19,69.45,23.77,66.37,0,0.345,0,0.7998,74.81,74.7,17.29
821,186,4,24.13,87.37,23.15,70.88,23.64,66.42,0,0.3443,0,0.7998,74.82,74.72,17.57
822,186,5,24.47,87.53,23.18,72.26,23.55,66.49,0,0.3436,0,0.7998,74.81,74.74,17.91
823,186,6,25.53,84.84,23.32,73.02,23.51,66.56,0,0.343,0,0.7998,74.78,74.75,18.21
824,186,7,26.75,82.46,23.4,73.08,23.48,66.63,0,0.3423,0,0.7998,74.77,74.75,18.3
825,186,8,27.42,82.76,23.58,73.68,23.5,66.71,0,0.3416,0,0.7998,74.73,74.75,18.61
826,186,9,29.41,82.31,23.81,67.09,23.57,66.72,1,0.341,0,0.7998,74.69,74.74,17.34
827,186,10,31,79.78,23.91,62.93,23.64,66.67,1,0.3403,0,0.7998,74.67,74.72,16.42
828,186,11,31.73,75.48,23.95,60.48,23.7,66.6,1,0.3396,0,0.7998,74.67,74.71,15.84
829,186,12,33.36,72.27,23.92,58.15,23.74,66.51,1,0.339,0,0.7998,74.67,74.7,15.19
830,186,13,33.73,73.55,23.99,57.11,23.79,66.41,1,0.3383,0,0.7998,74.66,74.7,14.98
831,186,14,34.75,75.22,23.98,56.52,23.83,66.3,1,0.3376,0,0.7998,74.66,74.69,14.81
832,186,15,34.6,72,23.99,56.03,23.86,66.18,1,0.337,0,0.7998,74.66,74.68,14.68
833,186,16,33.73,68.87,24.04,55.79,23.9,66.07,1,0.3363,0,0.7998,74.65,74.68,14.66
834,186,17,32.31,71.12,24.56,56.98,24.03,65.97,0,0.3356,0,0.7998,74.57,74.65,15.48
835,186,18,32.98,69.65,25.14,57.97,24.25,65.88,0,0.335,0,0.7998,74.49,74.62,16.29
836,186,19,31.86,72.42,25.55,58.49,24.51,65.79,0,0.3343,0,0.7998,74.43,74.58,16.81
837,186,20,31.14,78.62,25.83,59.94,24.77,65.73,0,0.3336,0,0.7998,74.4,74.54,17.46
838,186,21,30.83,86.09,26.07,61.47,25.03,65.68,0,0.333,0,0.7998,74.37,74.5,18.09
839,186,22,30.37,87.77,26.36,63,25.3,65.65,0,0.3323,0,0.7998,74.34,74.46,18.75
840,186,23,27.37,98.36,26.36,65.64,25.51,65.65,0,0.3316,0,0.7998,74.34,74.44,19.42
841,187,0,29.19,94.48,26.49,67.17,25.71,65.67,0,0.331,0,0.7998,74.33,74.41,19.9
842,187,1,27.68,91.1,26.56,68.34,25.88,65.7,0,0.3303,0,0.7998,74.32,74.39,20.25
843,187,2,27,94.72,26.52,69.89,26.01,65.75,0,0.3296,0,0.7998,74.33,74.38,20.58
844,187,3,25.75,96.05,26.24,72.06,26.05,65.82,0,0.329,0,0.7998,74.35,74.37,20.8
845,187,4,25.71,92.36,26.2,73.43,26.08,65.9,0,0.3283,0,0.7998,74.36,74.37,21.07
846,187,5,25.67,89.24,26.03,74.28,26.07,65.99,0,0.3276,0,0.7998,74.38,74.37,21.09
847,187,6,26.34,93.88,25.94,76.14,26.04,66.11,0,0.327,0,0.7998,74.39,74.38,21.41
848,187,7,25.81,98.68,25.86,77.91,26.01,66.24,0,0.3263,0,0.7998,74.4,74.38,21.71
849,187,8,28.66,84.47,25.91,78.58,25.99,66.37,0,0.3256,0,0.7998,74.39,74.38,21.9
850,187,9,30.06,84.71,26.13,79.28,26.02,66.52,0,0.325,0,0.7998,74.37,74.38,22.26
851,187,10,30.5,82.25,26.39,79.31,26.09,66.66,0,0.3243,0,0.7998,74.34,74.37,22.51
852,187,11,30.44,79.01,26.7,79.6,26.21,66.8,0,0.3236,0,0.7998,74.31,74.36,22.88
853,187,12,31.53,76.31,27.11,79.26,26.39,66.94,0,0.323,0,0.7998,74.28,74.34,23.2
854,187,13,33.19,74.23,27.52,78.95,26.62,67.08,0,0.3223,0,0.7998,74.25,74.32,23.55
855,187,14,32.85,71.02,27.92,78.65,26.88,67.2,0,0.3216,0,0.7998,74.22,74.29,23.86
856,187,15,33.74,72.89,28.26,77.95,27.15,67.32,0,0.321,0,0.7998,74.2,74.27,24.05
857,187,16,33.47,73,28.5,77.91,27.42,67.44,0,0.3203,0,0.7998,74.19,74.25,24.27
858,187,17,32.94,72.29,28.74,77.97,27.69,67.56,0,0.3196,0,0.7998,74.18,74.24,24.51
859,187,18,33.09,72.14,29.05,77.41,27.96,67.67,0,0.3189,0,0.7998,74.17,74.22,24.7
860,187,19,31.78,75.07,29.18,76.92,28.2,67.77,0,0.3183,0,0.7998,74.17,74.21,24.71
861,187,20,30.64,76.59,29.17,76.72,28.4,67.87,0,0.3176,0,0.7998,74.17,74.2,24.66
862,187,21,28.76,82.52,29.13,77.47,28.54,67.98,0,0.3169,0,0.7998,74.17,74.19,24.78
863,187,22,27.8,88.03,28.98,78.46,28.63,68.09,0,0.3163,0,0.7998,74.18,74.19,24.85
864,187,23,27.69,92.07,28.76,79.67,28.66,68.22,0,0.3156,0,0.7998,74.18,74.19,24.9
865,188,0,27.38,96.77,28.53,80.74,28.63,68.36,0,0.3192,0,0.7998,74.19,74.19,24.89
866,188,1,27.73,98,28.32,81.73,28.57,68.51,0,0.3269,0,0.8001,74.2,74.19,24.9
867,188,2,24.81,99,27.98,82.8,28.45,68.67,0,0.3381,0,0.8079,74.22,74.2,24.78
868,188,3,26.53,98,27.77,83.38,28.31,68.83,0,0.3512,0,0.8185,74.23,74.2,24.7
869,188,4,27.47,98,27.51,84.04,28.15,69,0,0.3662,0,0.832,74.25,74.21,24.57
870,188,5,27.88,98,27.51,84.87,28.02,69.18,0,0.384,0,0.8486,74.25,74.22,24.73
871,188,6,28.08,97.83,27.46,85.67,27.91,69.36,0,0.4047,0,0.8681,74.25,74.22,24.84
872,188,7,27.86,91.95,27.37,85.74,27.8,69.54,0,0.4255,0,0.8876,74.26,74.23,24.77
873,188,8,29.19,90.3,27.43,86.07,27.73,69.73,0,0.4476,0,0.9083,74.25,74.23,24.89
874,188,9,30.02,85.8,25.54,74.95,27.29,69.78,1,0.4463,0,0.9083,74.43,74.26,20.77
875,188,10,31.28,82.25,24.77,68.13,26.79,69.77,1,0.4449,0,0.9083,74.54,74.3,18.49
876,188,11,31.76,82,24.45,63.53,26.32,69.7,1,0.4436,0,0.9083,74.59,74.35,17.08
877,188,12,32.09,77.36,24.27,60.68,25.91,69.6,1,0.4423,0,0.9083,74.62,74.39,16.19
878,188,13,33.73,73.51,24.16,58.42,25.56,69.47,1,0.4409,0,0.9083,74.63,74.43,15.5
879,188,14,32.96,82.22,23.96,57.05,25.24,69.33,1,0.4396,0,0.9083,74.67,74.47,14.93
