"doy","T","RH","LM","PI","EMC","strategy"
172,25.656,50.263,0.466,20.905,9.157,"B"
173,25.94,52.544,0.426,19.409,9.522,"B"
174,25.708,50.174,0.471,21.059,9.147,"B"
175,25.39,52.867,0.45,20.446,9.586,"B"
176,25.614,53.393,0.439,19.973,9.676,"B"
177,25.481,49.755,0.487,21.711,9.084,"B"
178,25.48,53.817,0.439,20.022,9.754,"B"
179,25.888,50.742,0.447,20.187,9.228,"B"
180,25.846,51.015,0.452,20.352,9.28,"B"
181,26.127,48.96,0.452,20.271,8.939,"B"
182,25.964,48.106,0.476,21.133,8.811,"B"
183,25.871,50.154,0.452,20.357,9.135,"B"
184,26.062,52.981,0.423,19.278,9.588,"B"
185,25.235,50.575,0.501,22.248,9.234,"B"
186,25.768,49.206,0.471,21.05,8.99,"B"
187,25.886,50.51,0.449,20.249,9.192,"B"
188,26.146,51.199,0.428,19.406,9.297,"B"
189,25.872,53.955,0.418,19.171,9.765,"B"
190,26.019,50.424,0.443,19.976,9.177,"B"
191,26.837,51.052,0.388,17.781,9.25,"B"
192,26.165,49.174,0.466,20.687,8.977,"B"
193,26.181,50.736,0.436,19.673,9.228,"B"
194,26.231,50.621,0.426,19.316,9.2,"B"
195,26.615,49.242,0.426,19.184,8.969,"B"
196,25.858,49.885,0.462,20.716,9.09,"B"
197,26.609,48.008,0.436,19.531,8.775,"B"
198,26.526,50.748,0.41,18.654,9.208,"B"
199,25.354,53.025,0.458,20.775,9.619,"B"
200,25.709,51,0.453,20.455,9.274,"B"
201,25.25,49.177,0.508,22.526,8.999,"B"
202,25.392,49.78,0.498,22.102,9.1,"B"
203,25.553,49.615,0.482,21.502,9.06,"B"
204,26.279,50.829,0.426,19.298,9.23,"B"
205,26.154,48.615,0.457,20.419,8.884,"B"
206,25.996,47.807,0.477,21.162,8.763,"B"
207,26.189,49.961,0.436,19.689,9.098,"B"
208,25.897,49.899,0.463,20.689,9.101,"B"
209,26.611,51.333,0.404,18.412,9.309,"B"
210,25.589,48.138,0.499,22.099,8.824,"B"
211,25.614,49.331,0.481,21.419,9.019,"B"
212,25.692,49.333,0.483,21.476,9.011,"B"
213,25.895,50.74,0.444,20.059,9.238,"B"
214,27.16,51.164,0.373,17.137,9.26,"B"
215,26.197,49.497,0.449,20.131,9.019,"B"
216,25.974,49.65,0.454,20.387,9.049,"B"
217,25.913,48.98,0.477,21.194,8.95,"B"
218,25.844,48.963,0.473,21.07,8.951,"B"
219,25.885,48.561,0.47,20.963,8.886,"B"
220,25.942,48.84,0.47,20.947,8.924,"B"
221,25.574,50.936,0.467,20.981,9.272,"B"
222,26.413,50.865,0.414,18.844,9.23,"B"
223,26.322,50.076,0.431,19.459,9.107,"B"
224,26.654,48.208,0.43,19.313,8.802,"B"
225,26.254,48.797,0.446,20.027,8.906,"B"
226,25.568,50.879,0.461,20.78,9.26,"B"
227,25.733,50.883,0.458,20.636,9.25,"B"
228,25.121,53.626,0.461,20.932,9.726,"B"
229,25.85,51.114,0.447,20.169,9.295,"B"
230,25.651,47.187,0.512,22.453,8.682,"B"
231,25.34,48.263,0.515,22.718,8.854,"B"
232,25.685,49.489,0.47,21.037,9.036,"B"
233,26.134,50.127,0.437,19.76,9.12,"B"
234,25.818,53.033,0.427,19.497,9.607,"B"
235,26.497,51.887,0.398,18.242,9.393,"B"
236,26.575,49.017,0.43,19.336,8.933,"B"
237,25.33,50.95,0.478,21.435,9.283,"B"
238,25.833,50.072,0.459,20.59,9.126,"B"
239,25.782,52.44,0.428,19.561,9.504,"B"
240,25.484,49.631,0.487,21.703,9.066,"B"
241,25.68,49.687,0.475,21.209,9.075,"B"
242,26.294,50.872,0.425,19.248,9.238,"B"
243,25.771,49.374,0.477,21.235,9.021,"B"
244,26.14,47.841,0.467,20.765,8.765,"B"
245,26.024,49.935,0.451,20.255,9.1,"B"
246,25.742,49.193,0.48,21.356,8.989,"B"
247,25.611,46.634,0.516,22.638,8.591,"B"
248,25.985,50.333,0.443,20.002,9.162,"B"
249,26.244,48.363,0.455,20.318,8.841,"B"
250,25.682,48.691,0.495,21.9,8.91,"B"
251,25.187,51.034,0.496,22.116,9.305,"B"
252,25.744,49.324,0.473,21.148,9.009,"B"
253,25.505,49.795,0.491,21.802,9.101,"B"
254,26.031,46.239,0.489,21.579,8.522,"B"
255,26.191,51.45,0.418,19.069,9.333,"B"
256,26.794,51.759,0.387,17.746,9.361,"B"
257,26.244,52.243,0.415,18.927,9.467,"B"
258,26.752,51.652,0.389,17.839,9.347,"B"
259,26.047,50.931,0.441,19.864,9.261,"B"
260,25.861,50.541,0.447,20.192,9.199,"B"
261,26.293,49.933,0.432,19.482,9.087,"B"
262,26.152,50.774,0.43,19.485,9.226,"B"
263,26.205,51.111,0.421,19.15,9.28,"B"
264,26.016,51.935,0.426,19.399,9.422,"B"
265,26.402,50.632,0.421,19.077,9.197,"B"
266,26.707,49.329,0.416,18.82,8.98,"B"
267,25.79,48.837,0.479,21.318,8.93,"B"
268,26.018,51.018,0.433,19.616,9.272,"B"
269,26.943,51.402,0.38,17.475,9.302,"B"
270,26.588,51.221,0.404,18.419,9.291,"B"
271,26.46,48.46,0.438,19.66,8.852,"B"
272,25.607,51.114,0.465,20.891,9.303,"B"
273,25.351,48.259,0.511,22.58,8.853,"B"
274,25.775,49.681,0.468,20.932,9.067,"B"
275,26.23,47.382,0.47,20.831,8.69,"B"
276,25.368,51.218,0.473,21.28,9.327,"B"
277,24.716,51.516,0.511,22.844,9.385,"B"
278,25.775,51.152,0.445,20.157,9.294,"B"
279,26.385,50.778,0.418,18.981,9.223,"B"
280,26.157,47.707,0.472,20.926,8.742,"B"
281,25.217,49.057,0.51,22.591,8.981,"B"
282,25.715,49.61,0.473,21.142,9.052,"B"
283,25.383,47.263,0.521,22.91,8.695,"B"
284,26.372,49.484,0.435,19.561,9.013,"B"
285,26.218,50.694,0.428,19.386,9.218,"B"
286,25.858,47.351,0.499,21.988,8.695,"B"
287,26.239,48.284,0.455,20.301,8.829,"B"
288,26.218,50.876,0.426,19.316,9.244,"B"
289,25.881,50.918,0.441,19.951,9.253,"B"
290,25.734,48.534,0.494,21.828,8.882,"B"
291,25.489,50.648,0.47,21.112,9.229,"B"
292,25.822,50.331,0.453,20.41,9.16,"B"
293,26.241,51.128,0.423,19.215,9.281,"B"
294,26.403,49.665,0.427,19.295,9.041,"B"
295,26.201,52.621,0.413,18.885,9.523,"B"
296,25.537,51.069,0.469,21.052,9.291,"B"
297,25.684,47.217,0.505,22.232,8.682,"B"
298,25.859,48.069,0.478,21.238,8.809,"B"
299,25.793,47.779,0.501,22.054,8.765,"B"
300,25.646,48.561,0.489,21.706,8.892,"B"
301,25.968,48.672,0.462,20.663,8.902,"B"
302,26.714,48.828,0.427,19.184,8.901,"B"
303,26.304,51.425,0.417,18.964,9.329,"B"
304,26.629,50.124,0.41,18.623,9.109,"B"
305,26.619,49.775,0.424,19.103,9.052,"B"
306,25.942,49.436,0.458,20.529,9.023,"B"
307,26.692,51.427,0.394,18.03,9.315,"B"
308,26.227,51.735,0.417,19.014,9.377,"B"
309,25.685,51.329,0.452,20.424,9.332,"B"
310,26.002,51.701,0.43,19.526,9.381,"B"
311,26.988,51.991,0.38,17.45,9.394,"B"
312,25.812,49.425,0.466,20.863,9.02,"B"
313,25.47,47.135,0.522,22.901,8.674,"B"
314,25.587,50.073,0.47,21.081,9.132,"B"
315,26.107,50.643,0.437,19.759,9.206,"B"
316,25.697,50.677,0.455,20.513,9.222,"B"
317,25.842,50.504,0.456,20.473,9.195,"B"
318,25.992,47.995,0.479,21.236,8.792,"B"
319,26.114,49.897,0.441,19.88,9.089,"B"
320,26.368,49.99,0.429,19.381,9.091,"B"
321,25.933,52.993,0.422,19.278,9.591,"B"
322,25.788,50.429,0.451,20.349,9.178,"B"
323,26.699,48.776,0.426,19.148,8.894,"B"
324,25.793,50.613,0.453,20.435,9.214,"B"
325,26.611,49.682,0.413,18.728,9.036,"B"
326,26.844,48.114,0.429,19.187,8.789,"B"
327,26.466,49.792,0.429,19.343,9.058,"B"
328,25.781,49.578,0.473,21.074,9.051,"B"
329,25.37,50.585,0.479,21.478,9.217,"B"
330,26.245,52.589,0.405,18.583,9.512,"B"
331,25.988,51.235,0.431,19.58,9.304,"B"
332,26.163,52.235,0.416,18.981,9.459,"B"
333,26.143,50.533,0.434,19.644,9.186,"B"
334,25.602,49.898,0.476,21.286,9.104,"B"
335,25.225,51.166,0.48,21.564,9.32,"B"
336,25.587,51.392,0.459,20.681,9.345,"B"
337,26.092,49.983,0.447,20.099,9.101,"B"
338,25.36,48.916,0.507,22.434,8.957,"B"
339,25.445,48.039,0.509,22.481,8.816,"B"
340,25.435,45.725,0.536,23.398,8.461,"B"
341,25.973,51.234,0.445,20.05,9.318,"B"
342,26.291,50.97,0.421,19.103,9.255,"B"
343,26.298,50.939,0.419,19.046,9.244,"B"
344,25.727,51.975,0.446,20.17,9.436,"B"
345,25.595,50.324,0.471,21.09,9.178,"B"
346,25.822,49.912,0.462,20.686,9.102,"B"
347,25.965,47.923,0.484,21.42,8.782,"B"
348,25.73,50.052,0.463,20.795,9.122,"B"
349,25.635,49.824,0.472,21.118,9.089,"B"
350,26.058,49.652,0.451,20.259,9.049,"B"
351,25.889,48.994,0.466,20.818,8.954,"B"
352,26.599,47.96,0.436,19.538,8.766,"B"
353,26.374,49.308,0.435,19.572,8.986,"B"
354,25.901,50.149,0.456,20.505,9.132,"B"
355,25.649,51.889,0.447,20.248,9.416,"B"
356,25.575,52.155,0.453,20.493,9.474,"B"
357,25.848,50.534,0.457,20.527,9.198,"B"
358,25.89,49.811,0.455,20.462,9.079,"B"
359,26.615,49.736,0.417,18.863,9.048,"B"
360,26.37,49.965,0.429,19.364,9.091,"B"
361,25.925,49.624,0.455,20.427,9.047,"B"
362,26.033,50.057,0.451,20.234,9.118,"B"
363,25.967,49.412,0.455,20.415,9.014,"B"
364,25.817,50.539,0.449,20.272,9.199,"B"
365,26.171,52.341,0.411,18.832,9.482,"B"
1,19.558,65.058,0.768,34.348,12.095,"C"
2,19.556,65.305,0.758,34.006,12.132,"C"
3,20.201,63.476,0.728,32.571,11.724,"C"
4,20.293,63.784,0.709,31.835,11.799,"C"
5,20.194,66.204,0.689,31.238,12.312,"C"
6,20.163,62.941,0.73,32.655,11.59,"C"
7,19.61,65.188,0.756,33.915,12.096,"C"
8,19.39,66.185,0.771,34.55,12.332,"C"
9,19.297,64.21,0.805,35.802,11.895,"C"
10,18.927,65.076,0.832,36.981,12.088,"C"
11,19.473,64.784,0.789,35.15,11.992,"C"
12,18.945,66.581,0.807,36.088,12.417,"C"
13,20.606,65.245,0.658,29.907,12.065,"C"
14,20.471,65.121,0.676,30.619,12.066,"C"
15,19.251,65.2,0.798,35.583,12.112,"C"
16,19.267,66.856,0.769,34.568,12.511,"C"
17,19.855,65.712,0.732,32.888,12.236,"C"
18,19.719,64.386,0.759,33.952,11.917,"C"
19,20.519,63.92,0.689,31.005,11.808,"C"
20,19.68,65.987,0.744,33.435,12.271,"C"
21,19.476,64.056,0.791,35.169,11.865,"C"
22,19.98,64.738,0.736,32.96,12.012,"C"
23,19.479,63.295,0.802,35.571,11.686,"C"
24,19.212,64.793,0.809,35.983,12.03,"C"
25,20.266,66.126,0.68,30.839,12.316,"C"
26,19.771,65.728,0.736,33.087,12.218,"C"
27,19.787,64.429,0.756,33.787,11.93,"C"
28,19.866,63.242,0.76,33.863,11.671,"C"
29,20.243,68.401,0.659,30.143,12.807,"C"
30,20.303,67.534,0.655,29.965,12.58,"C"
31,20.849,64.273,0.653,29.584,11.846,"C"
32,20.276,64.064,0.708,31.845,11.829,"C"
33,19.528,65.696,0.762,34.158,12.23,"C"
34,19.261,65.501,0.79,35.301,12.177,"C"
35,20.189,66.016,0.688,31.171,12.266,"C"
36,19.637,64.955,0.77,34.333,12.093,"C"
37,20.055,65.579,0.708,31.951,12.175,"C"
38,20.625,64.163,0.67,30.308,11.844,"C"
39,20.53,67.123,0.646,29.51,12.507,"C"
40,19.549,64.381,0.785,34.907,11.952,"C"
41,20.28,62.233,0.732,32.664,11.463,"C"
42,20.3,64.608,0.699,31.517,11.959,"C"
43,20.226,65.903,0.685,31.059,12.251,"C"
44,20.114,62.708,0.739,33.013,11.54,"C"
45,20.28,63.437,0.711,31.955,11.71,"C"
46,20.272,64.399,0.702,31.621,11.927,"C"
47,19.86,65.229,0.729,32.809,12.109,"C"
48,20.08,64.347,0.727,32.59,11.906,"C"
49,19.603,65.996,0.755,33.867,12.302,"C"
50,18.821,62.166,0.905,39.496,11.525,"C"
51,20.145,66.543,0.686,31.145,12.402,"C"
52,19.966,67.331,0.693,31.478,12.574,"C"
53,19.583,64.516,0.774,34.525,11.948,"C"
54,19.436,64.122,0.791,35.199,11.904,"C"
55,19.935,66.531,0.706,31.946,12.404,"C"
56,19.97,65.385,0.723,32.519,12.141,"C"
57,19.559,65.188,0.764,34.209,12.099,"C"
58,19.621,65.662,0.752,33.745,12.221,"C"
59,20.13,63.452,0.742,33.062,11.736,"C"
60,19.743,61.669,0.802,35.397,11.363,"C"
61,19.588,65.265,0.76,34.043,12.116,"C"
62,19.692,64.201,0.765,34.153,11.901,"C"
63,20.247,65.382,0.69,31.209,12.128,"C"
64,19.886,64.038,0.754,33.656,11.87,"C"
65,20.088,61.488,0.765,33.886,11.323,"C"
66,19.957,65.138,0.73,32.758,12.113,"C"
67,20.793,65.313,0.642,29.241,12.101,"C"
68,20.365,66.811,0.667,30.379,12.429,"C"
69,19.636,63.104,0.788,34.975,11.678,"C"
70,19.674,64.652,0.763,34.118,11.991,"C"
71,19.58,65.01,0.763,34.177,12.057,"C"
72,20.781,64.803,0.649,29.48,11.97,"C"
73,19.965,65.316,0.721,32.472,12.106,"C"
74,20.044,65.201,0.716,32.238,12.078,"C"
75,20.384,64.493,0.687,31.029,11.917,"C"
76,19.923,65.882,0.713,32.215,12.239,"C"
77,20.055,66.278,0.701,31.705,12.348,"C"
78,20.193,64.251,0.717,32.187,11.893,"C"
79,20.539,63.362,0.689,31.025,11.696,"C"
80,20.419,62.906,0.714,31.938,11.622,"C"
81,19.735,63.028,0.776,34.513,11.649,"C"
82,20.691,64.33,0.666,30.12,11.887,"C"
83,20.203,65.286,0.705,31.765,12.121,"C"
84,18.488,63.904,0.912,40.02,11.869,"C"
85,18.768,65.714,0.844,37.498,12.231,"C"
86,19.457,64.825,0.781,34.87,12.035,"C"
87,20.005,62.182,0.765,33.946,11.463,"C"
88,19.916,64.881,0.732,32.873,12.016,"C"
89,20.556,64.7,0.671,30.391,11.97,"C"
90,20.97,66.173,0.613,28.141,12.262,"C"
91,20.264,63.409,0.721,32.287,11.687,"C"
92,20.299,65.678,0.681,30.883,12.178,"C"
93,19.784,64.692,0.749,33.553,11.987,"C"
94,19.173,62.926,0.849,37.342,11.658,"C"
95,19.685,64.698,0.753,33.76,11.98,"C"
96,19.846,65.153,0.733,32.95,12.073,"C"
97,19.362,67.762,0.751,33.881,12.733,"C"
98,19.781,64.29,0.749,33.56,11.886,"C"
99,20.43,65.451,0.676,30.634,12.116,"C"
100,19.541,65.782,0.758,34.012,12.258,"C"
101,20.29,64.37,0.701,31.582,11.914,"C"
102,20.136,63.89,0.73,32.668,11.836,"C"
103,19.683,66.109,0.737,33.195,12.316,"C"
104,19.854,63.747,0.753,33.64,11.791,"C"
105,19.91,64.658,0.742,33.212,11.979,"C"
106,19.436,64.254,0.791,35.208,11.913,"C"
107,19.879,63.838,0.751,33.544,11.823,"C"
108,20.519,65.586,0.66,30.033,12.143,"C"
109,19.3,64.353,0.807,35.868,11.918,"C"
110,19.789,64.926,0.74,33.235,12.032,"C"
111,20.189,65.749,0.699,31.554,12.224,"C"
112,19.165,67.61,0.769,34.637,12.664,"C"
113,19.87,67.63,0.708,32.084,12.644,"C"
114,19.385,64.96,0.786,35.077,12.054,"C"
115,19.661,64.354,0.767,34.227,11.924,"C"
116,20.512,65.06,0.67,30.378,12.046,"C"
117,20.254,64.92,0.705,31.711,12.046,"C"
118,20.47,65.709,0.664,30.199,12.173,"C"
119,19.989,65.837,0.708,31.994,12.228,"C"
120,20.455,63.611,0.702,31.535,11.719,"C"
121,19.164,62.937,0.843,37.172,11.632,"C"
122,20.071,64.433,0.724,32.502,11.925,"C"
123,19.896,65.196,0.724,32.635,12.1,"C"
124,20.866,65.299,0.636,28.999,12.076,"C"
125,20.666,64.578,0.665,30.099,11.934,"C"
126,20.04,65.415,0.713,32.147,12.138,"C"
127,19.408,66.366,0.76,34.156,12.357,"C"
128,19.44,66.578,0.752,33.859,12.412,"C"
129,19.977,63.934,0.746,33.303,11.842,"C"
130,19.934,64.964,0.723,32.578,12.025,"C"
131,20.411,66.86,0.662,30.147,12.435,"C"
132,20.082,66.641,0.691,31.338,12.41,"C"
133,20.175,66.535,0.68,30.934,12.381,"C"
134,20.242,65.595,0.687,31.14,12.139,"C"
135,19.298,66.582,0.77,34.579,12.408,"C"
136,20.101,66.348,0.692,31.376,12.351,"C"
137,19.557,63.916,0.788,35.043,11.828,"C"
138,19.54,64.472,0.773,34.55,11.941,"C"
139,19.984,66.268,0.7,31.736,12.334,"C"
140,21.133,66.212,0.603,27.669,12.271,"C"
141,19.469,64.582,0.781,34.87,11.971,"C"
142,19.004,64.382,0.842,37.221,11.968,"C"
143,19.475,62.179,0.823,36.286,11.47,"C"
144,20.197,65.39,0.7,31.573,12.154,"C"
145,19.721,64.428,0.763,34.047,11.969,"C"
146,19.79,63.565,0.767,34.171,11.768,"C"
147,19.916,63.128,0.761,33.87,11.66,"C"
148,20.152,64.352,0.722,32.391,11.932,"C"
149,19.749,65.043,0.749,33.581,12.08,"C"
150,19.809,65.887,0.727,32.763,12.231,"C"
151,20.878,67.603,0.602,27.8,12.6,"C"
152,20.123,66.756,0.692,31.333,12.501,"C"
153,20.359,63.866,0.705,31.671,11.791,"C"
154,20.477,65.576,0.663,30.157,12.146,"C"
155,19.627,67.765,0.719,32.61,12.66,"C"
156,19.686,66.339,0.734,33.074,12.343,"C"
157,20.542,65.794,0.659,29.952,12.233,"C"
158,20.789,64.769,0.649,29.491,11.967,"C"
159,20.174,67.261,0.678,30.833,12.554,"C"
160,19.298,64.177,0.81,35.946,11.899,"C"
161,20.372,64.707,0.686,31.003,11.967,"C"
162,20.196,63.689,0.726,32.51,11.765,"C"
163,19.557,64.302,0.782,34.831,11.927,"C"
164,20.293,64.555,0.7,31.548,11.949,"C"
165,20.182,64.982,0.702,31.661,12.05,"C"
166,20.523,64.8,0.673,30.478,12.001,"C"
167,19.943,66.94,0.702,31.82,12.479,"C"
168,19.723,63.089,0.774,34.442,11.642,"C"
169,20.131,62.712,0.74,33.015,11.564,"C"
170,19.777,64.176,0.759,33.916,11.862,"C"
171,19.033,65.443,0.811,36.196,12.153,"C"
172,19.656,65.263,0.751,33.702,12.102,"C"
173,19.94,67.544,0.694,31.541,12.631,"C"
174,19.708,65.174,0.756,33.806,12.11,"C"
175,19.39,67.867,0.74,33.476,12.691,"C"
176,19.614,68.393,0.718,32.562,12.859,"C"
177,19.481,64.755,0.782,34.889,12.011,"C"
178,19.48,68.817,0.722,32.788,12.972,"C"
179,19.888,65.742,0.722,32.565,12.21,"C"
180,19.846,66.015,0.728,32.776,12.305,"C"
181,20.127,63.96,0.723,32.426,11.82,"C"
182,19.964,63.106,0.755,33.639,11.653,"C"
183,19.871,65.154,0.73,32.842,12.078,"C"
184,20.062,67.981,0.688,31.241,12.73,"C"
185,19.235,65.575,0.806,35.824,12.252,"C"
186,19.768,64.206,0.757,33.832,11.891,"C"
187,19.886,65.51,0.724,32.634,12.164,"C"
188,20.146,66.199,0.69,31.286,12.317,"C"
189,19.872,68.955,0.686,31.276,12.998,"C"
190,20.019,65.424,0.713,32.138,12.154,"C"
191,20.837,66.052,0.626,28.669,12.25,"C"
192,20.165,64.174,0.735,32.784,11.896,"C"
193,20.181,65.736,0.701,31.631,12.243,"C"
194,20.231,65.621,0.687,31.133,12.177,"C"
195,20.615,64.242,0.676,30.533,11.869,"C"
196,19.858,64.885,0.741,33.218,12.013,"C"
197,20.609,63.008,0.689,30.971,11.601,"C"
198,20.526,65.748,0.659,29.989,12.185,"C"
199,19.354,68.025,0.75,33.857,12.758,"C"
200,19.709,66,0.736,33.147,12.264,"C"
201,19.25,64.177,0.816,36.203,11.894,"C"
202,19.392,64.78,0.796,35.408,12.061,"C"
203,19.553,64.615,0.774,34.559,11.978,"C"
204,20.279,65.829,0.687,31.108,12.222,"C"
205,20.154,63.615,0.727,32.539,11.744,"C"
206,19.996,62.807,0.755,33.631,11.586,"C"
207,20.189,64.961,0.702,31.661,12.044,"C"
208,19.897,64.899,0.74,33.148,12.061,"C"
209,20.611,66.333,0.653,29.688,12.36,"C"
210,19.589,63.138,0.795,35.278,11.651,"C"
211,19.614,64.331,0.771,34.402,11.94,"C"
212,19.692,64.333,0.77,34.324,11.918,"C"
213,19.895,65.74,0.718,32.413,12.249,"C"
214,21.16,66.164,0.6,27.542,12.283,"C"
215,20.197,64.497,0.715,32.135,11.922,"C"
216,19.974,64.65,0.728,32.699,11.957,"C"
217,19.913,63.98,0.757,33.751,11.843,"C"
218,19.844,63.963,0.756,33.734,11.843,"C"
219,19.885,63.561,0.752,33.566,11.752,"C"
220,19.942,63.84,0.749,33.442,11.793,"C"
221,19.574,65.936,0.756,33.909,12.276,"C"
222,20.413,65.865,0.669,30.394,12.214,"C"
223,20.322,65.076,0.69,31.189,12.041,"C"
224,20.654,63.208,0.682,30.712,11.626,"C"
225,20.254,63.797,0.713,32.028,11.76,"C"
226,19.568,65.879,0.748,33.663,12.245,"C"
227,19.733,65.883,0.739,33.262,12.22,"C"
228,19.121,68.626,0.759,34.322,12.907,"C"
229,19.85,66.114,0.723,32.579,12.319,"C"
230,19.651,62.187,0.806,35.57,11.497,"C"
231,19.34,63.263,0.82,36.285,11.701,"C"
232,19.685,64.489,0.756,33.873,11.947,"C"
233,20.134,65.127,0.703,31.779,12.049,"C"
234,19.818,68.033,0.698,31.735,12.752,"C"
235,20.497,66.887,0.645,29.522,12.442,"C"
236,20.575,64.017,0.683,30.786,11.813,"C"
237,19.33,65.95,0.775,34.745,12.293,"C"
238,19.833,65.072,0.738,33.129,12.08,"C"
239,19.782,67.44,0.702,31.931,12.578,"C"
240,19.484,64.631,0.78,34.81,11.983,"C"
241,19.68,64.687,0.762,34.04,12.025,"C"
242,20.294,65.872,0.683,30.961,12.236,"C"
243,19.771,64.374,0.762,33.971,11.952,"C"
244,20.14,62.841,0.741,33.049,11.591,"C"
245,20.024,64.935,0.721,32.431,12.049,"C"
246,19.742,64.193,0.766,34.144,11.895,"C"
247,19.611,61.634,0.814,35.877,11.349,"C"
248,19.985,65.333,0.717,32.295,12.125,"C"
249,20.244,63.363,0.722,32.325,11.69,"C"
250,19.682,63.691,0.787,34.902,11.782,"C"
251,19.187,66.034,0.803,35.753,12.34,"C"
252,19.744,64.324,0.759,33.935,11.907,"C"
253,19.505,64.795,0.786,34.949,12.074,"C"
254,20.031,61.239,0.771,34.15,11.268,"C"
255,20.191,66.45,0.679,30.893,12.346,"C"
256,20.794,66.759,0.625,28.645,12.4,"C"
257,20.244,67.243,0.674,30.634,12.573,"C"
258,20.752,66.652,0.629,28.8,12.386,"C"
259,20.047,65.931,0.708,31.943,12.282,"C"
260,19.861,65.541,0.725,32.664,12.169,"C"
261,20.293,64.933,0.692,31.277,12.019,"C"
262,20.152,65.774,0.693,31.393,12.214,"C"
263,20.205,66.111,0.683,30.999,12.291,"C"
264,20.016,66.935,0.692,31.438,12.496,"C"
265,20.402,65.632,0.676,30.632,12.183,"C"
266,20.707,64.329,0.663,30.018,11.886,"C"
267,19.79,63.837,0.763,34.036,11.807,"C"
268,20.018,66.018,0.702,31.778,12.28,"C"
269,20.943,66.402,0.614,28.171,12.322,"C"
270,20.588,66.221,0.651,29.636,12.329,"C"
271,20.46,63.46,0.696,31.317,11.709,"C"
272,19.607,66.114,0.751,33.728,12.332,"C"
273,19.351,63.259,0.817,36.176,11.696,"C"
274,19.775,64.681,0.752,33.643,12.003,"C"
275,20.23,62.382,0.742,33.014,11.496,"C"
276,19.368,66.218,0.769,34.513,12.351,"C"
277,18.716,66.516,0.835,37.227,12.393,"C"
278,19.775,66.152,0.724,32.689,12.286,"C"
279,20.385,65.778,0.672,30.526,12.222,"C"
280,20.157,62.707,0.746,33.202,11.558,"C"
281,19.217,64.057,0.818,36.295,11.868,"C"
282,19.715,64.61,0.758,33.902,11.965,"C"
283,19.383,62.263,0.827,36.49,11.481,"C"
284,20.372,64.484,0.694,31.28,11.921,"C"
285,20.218,65.694,0.691,31.25,12.219,"C"
286,19.858,62.351,0.787,34.81,11.49,"C"
287,20.239,63.284,0.722,32.342,11.674,"C"
288,20.218,65.876,0.687,31.16,12.238,"C"
289,19.881,65.918,0.714,32.292,12.226,"C"
290,19.734,63.534,0.782,34.697,11.741,"C"
291,19.489,65.648,0.763,34.223,12.214,"C"
292,19.822,65.331,0.73,32.899,12.093,"C"
293,20.241,66.128,0.683,30.987,12.293,"C"
294,20.403,64.665,0.684,30.935,11.957,"C"
295,20.201,67.621,0.672,30.623,12.626,"C"
296,19.537,66.069,0.758,34.009,12.292,"C"
297,19.684,62.217,0.798,35.295,11.479,"C"
298,19.859,63.069,0.762,33.932,11.648,"C"
299,19.793,62.779,0.789,34.897,11.594,"C"
300,19.646,63.561,0.78,34.705,11.756,"C"
301,19.968,63.672,0.74,33.126,11.769,"C"
302,20.714,63.828,0.675,30.445,11.78,"C"
303,20.304,66.425,0.674,30.617,12.367,"C"
304,20.629,65.124,0.658,29.883,12.063,"C"
305,20.619,64.775,0.675,30.472,11.983,"C"
306,19.942,64.436,0.734,32.939,11.942,"C"
307,20.692,66.427,0.637,29.11,12.344,"C"
308,20.227,66.735,0.676,30.734,12.418,"C"
309,19.685,66.329,0.733,33.045,12.359,"C"
310,20.002,66.701,0.696,31.589,12.427,"C"
311,20.988,66.991,0.611,28.056,12.458,"C"
312,19.812,64.425,0.747,33.455,11.92,"C"
313,19.47,62.135,0.825,36.349,11.462,"C"
314,19.587,65.073,0.76,34.044,12.07,"C"
315,20.107,65.643,0.703,31.749,12.181,"C"
316,19.697,65.677,0.736,33.187,12.187,"C"
317,19.842,65.504,0.734,32.965,12.178,"C"
318,19.992,62.995,0.757,33.697,11.625,"C"
319,20.114,64.897,0.709,31.953,12.028,"C"
320,20.368,64.99,0.686,31.032,12.019,"C"
321,19.933,67.993,0.689,31.384,12.715,"C"
322,19.788,65.429,0.73,32.913,12.124,"C"
323,20.699,63.776,0.676,30.453,11.775,"C"
324,19.793,65.613,0.732,32.961,12.197,"C"
325,20.611,64.682,0.663,30.082,11.946,"C"
326,20.844,63.114,0.674,30.317,11.647,"C"
327,20.466,64.792,0.684,30.89,11.983,"C"
328,19.781,64.578,0.754,33.721,11.983,"C"
329,19.37,65.585,0.776,34.754,12.177,"C"
330,20.245,67.589,0.661,30.232,12.596,"C"
331,19.988,66.235,0.7,31.734,12.309,"C"
332,20.163,67.235,0.675,30.765,12.532,"C"
333,20.143,65.533,0.699,31.586,12.15,"C"
334,19.602,64.898,0.766,34.242,12.043,"C"
335,19.225,66.166,0.782,35.061,12.33,"C"
336,19.587,66.392,0.744,33.5,12.38,"C"
337,20.092,64.983,0.717,32.258,12.04,"C"
338,19.36,63.916,0.809,35.875,11.846,"C"
339,19.445,63.039,0.812,35.928,11.649,"C"
340,19.435,60.725,0.845,37.08,11.188,"C"
341,19.973,66.234,0.716,32.274,12.374,"C"
342,20.291,65.97,0.68,30.833,12.258,"C"
343,20.298,65.939,0.677,30.763,12.222,"C"
