"date","Temp","RH","Tmin","Tmax","RHmin","RHmax","DP","AH","LIM","LM","LMfix","PI","EMC"
2024-08-26,22.841,48.977,22.6,23.1,46.8,51.9,11.56,9.964,74.879,1.007,0.693,29.877,9.033
2024-08-27,22.496,53.826,22.2,22.8,49.4,61.6,12.677,10.737,74.953,0.976,0.643,28.374,9.829
2024-08-28,22.4,53.626,22.1,22.6,49.1,57.9,12.531,10.638,74.975,0.977,0.654,28.821,9.799
2024-08-29,21.979,48.757,21.6,22.4,45.8,51.2,10.703,9.441,75.072,1.009,0.785,33.404,9.022
2024-08-30,21.701,46.087,21.5,21.9,41.1,49.7,9.606,8.782,75.14,1.028,0.877,36.587,8.612
2024-08-31,21.642,42.978,21.3,21.9,37.5,49.6,8.515,8.161,75.155,1.052,0.969,39.527,8.138
2024-09-01,21.526,44.149,20.9,21.9,40.9,49.5,8.808,8.328,75.184,1.043,0.951,39.039,8.319
2024-09-02,21.249,51.209,21,21.6,46.1,58,10.769,9.506,75.256,0.992,0.815,34.844,9.434
2024-09-03,21.641,66.344,21.1,22.2,58,75.9,15.096,12.598,75.155,0.91,0.551,25.609,12.227
2024-09-04,21.722,53.956,21.4,22,48.9,58.6,11.996,10.294,75.135,0.975,0.713,31.17,9.874
2024-09-05,21.502,47.059,21.2,21.7,38.9,54.3,9.735,8.865,75.19,1.021,0.878,36.734,8.768
2024-09-06,21.391,48.956,20.9,21.9,45.3,54.8,10.224,9.163,75.219,1.007,0.847,35.807,9.069
2024-09-07,21.292,57.336,20.5,21.7,54,62.2,12.52,10.67,75.245,0.956,0.699,30.955,10.472
2024-09-08,21.71,66.334,21.3,22,62,70.4,15.16,12.647,75.138,0.91,0.546,25.39,12.223
2024-09-09,21.913,59.857,21.6,22.3,44.8,70.8,13.761,11.546,75.088,0.942,0.607,27.437,10.912
2024-09-10,21.504,42.355,20.8,21.9,37.7,47,8.176,7.98,75.19,1.057,1.006,40.804,8.046
2024-09-11,21.249,45.348,20.6,21.7,40.2,50.4,8.954,8.418,75.256,1.033,0.954,39.348,8.509
2024-09-12,21.383,50.439,20.6,22,42.3,57.3,10.665,9.436,75.221,0.997,0.815,34.786,9.305
2024-09-13,21.75,57.696,21,22.4,53.6,60.5,13.044,11.025,75.128,0.954,0.651,29.048,10.522
2024-09-14,21.982,56.643,21.3,22.6,47.8,63.1,12.979,10.97,75.071,0.96,0.645,28.743,10.328
2024-09-15,22.339,63.332,21.9,22.7,60.4,68,15.035,12.519,74.988,0.925,0.532,24.591,11.571
2024-09-16,22.875,58.536,22.3,23.7,49.1,68.7,14.319,11.933,74.872,0.949,0.547,24.891,10.637
2024-09-17,22.671,44.574,22.1,23.2,31.8,52.3,9.989,8.981,74.915,1.039,0.802,33.527,8.355
2024-09-18,22.121,45.509,21.2,22.8,38.4,50.7,9.799,8.884,75.039,1.032,0.842,35.162,8.513
2024-09-19,22.204,47.777,21.2,23,36.7,55.9,10.603,9.372,75.019,1.016,0.781,33.147,8.862
2024-09-20,22.337,51.675,21.7,23.1,41.3,57.8,11.91,10.214,74.989,0.989,0.693,30.142,9.479
2024-09-21,22.294,53.823,21.6,22.8,46.3,59.8,12.489,10.612,74.999,0.976,0.661,29.097,9.835
2024-09-22,22.779,53.186,22.2,23.6,41.9,59.5,12.757,10.783,74.892,0.98,0.628,27.722,9.714
2024-09-23,22.24,58.825,20.7,22.6,45.5,66.1,13.8,11.562,75.011,0.948,0.593,26.803,10.711
2024-09-24,20.355,45.886,19.3,21.1,38.2,53.6,8.315,8.087,75.509,1.029,1.064,43.51,8.614
2024-09-25,19.962,41.175,18.8,20.7,32.6,53,6.374,7.092,75.631,1.067,1.294,50.953,7.901
2024-09-26,19.449,39.565,18.2,20.1,34.4,46.1,5.337,6.612,75.799,1.081,1.465,56.59,7.668
2024-09-27,19.799,44.806,19.5,20,41,48.4,7.459,7.644,75.683,1.037,1.186,47.802,8.46
2024-09-28,19.797,47.996,19.5,20,41.7,59.1,8.469,8.187,75.684,1.014,1.085,44.637,8.957
2024-09-29,20.211,59.992,19.8,20.5,51.6,69.7,12.197,10.484,75.553,0.941,0.766,33.889,10.992
2024-09-30,20.228,59.896,20,20.5,53.1,65.4,12.188,10.477,75.548,0.942,0.766,33.872,10.973
2024-10-01,20.054,50.759,19.7,20.3,40.7,63.6,9.535,8.789,75.602,0.995,0.973,40.856,9.392
2024-10-02,19.707,59.344,19.5,19.9,48.8,65.4,11.558,10.069,75.713,0.944,0.834,36.513,10.886
2024-10-03,19.648,63.539,19.4,19.9,58.5,69.3,12.54,10.743,75.732,0.923,0.769,34.36,11.704
2024-10-04,18.843,57.405,18.3,19.5,53.1,61.9,10.248,9.257,76.012,0.955,0.983,42.128,10.557
2024-10-05,18.875,59.527,18.5,19.2,57.3,63,10.823,9.617,76.001,0.943,0.934,40.459,10.945
2024-10-06,19.157,59.256,18.9,19.4,57.4,62,11.019,9.734,75.9,0.945,0.903,39.21,10.886
2024-10-07,19.09,52.832,18.8,19.4,44.5,60.6,9.239,8.645,75.924,0.982,1.058,44.358,9.759
2024-10-08,19.408,63.968,19.2,19.7,54.1,76,12.415,10.665,75.813,0.921,0.789,35.182,11.8
2024-10-09,19.174,52.195,19,19.4,47.3,57,9.137,8.583,75.894,0.986,1.062,44.421,9.65
2024-10-10,18.771,49.48,18.4,19,44.3,55.6,7.976,7.945,76.039,1.003,1.205,49.325,9.218
2024-10-11,18.726,50.652,18.3,18.8,45.9,55.1,8.28,8.112,76.055,0.996,1.176,48.459,9.408
2024-10-12,18.755,52.288,18.6,18.9,46.8,57.2,8.776,8.388,76.045,0.985,1.124,46.77,9.676
2024-10-13,18.734,52.801,18.4,19,49.6,56.3,8.902,8.46,76.052,0.982,1.113,46.438,9.762
2024-10-14,18.642,52.816,18.3,19,50.2,55,8.82,8.416,76.087,0.982,1.127,46.977,9.767
2024-10-15,18.533,50.062,18.4,18.8,48.5,52.4,7.93,7.927,76.128,0.999,1.227,50.25,9.317
2024-10-16,18.568,48.733,18.3,18.8,43.1,53.1,7.566,7.732,76.115,1.008,1.265,51.395,9.103
2024-10-17,18.629,50.768,18.3,18.9,45.3,54.7,8.224,8.084,76.092,0.995,1.189,48.95,9.429
2024-10-18,19.02,51.073,18.4,19.5,47.5,57.4,8.673,8.322,75.948,0.993,1.116,46.295,9.47
2024-10-19,19.427,46.931,19.1,19.8,42.6,50.4,7.8,7.833,75.806,1.021,1.177,47.84,8.798
2024-10-20,19.776,59.358,19.1,20.4,46.7,69.2,11.626,10.112,75.69,0.944,0.826,36.188,10.886
2024-10-21,20.696,66.684,20.2,21.3,61.2,73.4,14.276,11.987,75.409,0.909,0.624,28.683,12.336
2024-10-22,21.353,54.371,20.9,22,47.9,60.8,11.77,10.154,75.229,0.973,0.743,32.393,9.955
2024-10-23,21.692,52.06,21.3,22.1,46,55.9,11.426,9.915,75.142,0.987,0.75,32.428,9.56
2024-10-24,21.876,51.621,21.4,22.5,42.3,59,11.468,9.936,75.097,0.99,0.739,31.96,9.483
2024-10-25,21.689,46.517,21.4,22,42.3,53.6,9.732,8.857,75.143,1.025,0.868,36.307,8.679
2024-10-26,21.45,43.297,21.2,21.7,41.6,45.2,8.451,8.131,75.204,1.049,0.985,40.188,8.191
2024-10-27,21.45,45.883,21.2,21.8,42.1,53.1,9.311,8.617,75.204,1.029,0.914,37.922,8.587
2024-10-28,21.63,41.845,21.4,22.1,37.5,44.4,8.111,7.941,75.158,1.061,1.005,40.655,7.966
2024-10-29,21.841,48.879,21.4,22.3,41.3,55.4,10.613,9.389,75.105,1.008,0.797,33.902,9.044
2024-10-30,22.309,56.295,22,22.7,53,63.1,13.19,11.109,74.995,0.962,0.622,27.766,10.257
2024-10-31,21.998,50.648,21.6,22.4,40.1,61,11.293,9.818,75.068,0.996,0.745,32.082,9.322
2024-11-01,21.804,53.796,21.1,22.9,40,65.9,12.027,10.312,75.114,0.976,0.707,30.944,9.845
2024-11-02,22.283,47.723,21.6,22.9,33.9,64.4,10.659,9.404,75.001,1.016,0.774,32.859,8.851
2024-11-03,21.34,36.316,20.5,21.9,32.8,41.9,5.784,6.777,75.232,1.113,1.257,48.58,7.138
2024-11-04,20.347,37.128,19.4,20.9,35,39.1,5.222,6.54,75.512,1.104,1.403,53.83,7.28
2024-11-05,20.591,38.784,20.3,20.8,36.1,40.8,6.07,6.929,75.44,1.088,1.281,49.973,7.526
2024-11-06,20.502,38.298,20.2,20.8,35.8,43.4,5.808,6.807,75.466,1.093,1.318,51.175,7.454
2024-11-07,20.896,44.599,20.6,21.1,37.9,50.7,8.387,8.111,75.353,1.039,1.024,41.821,8.403
2024-11-08,21.406,54.123,21.1,21.7,50.2,58.9,11.75,10.139,75.215,0.974,0.742,32.325,9.912
2024-11-09,21.825,56.832,21.7,22.1,55.3,59,12.883,10.907,75.109,0.958,0.657,29.214,10.366
2024-11-10,21.042,54.6,20.3,21.7,50.8,56.7,11.544,10.014,75.312,0.971,0.771,33.541,10.003
2024-11-11,21.252,50.848,21,21.8,48.3,53,10.665,9.441,75.255,0.995,0.822,35.078,9.375
2024-11-12,21.066,45.48,20.9,21.3,41.5,51.6,8.83,8.353,75.306,1.032,0.975,40.146,8.534
2024-11-13,21.066,45.979,20.9,21.2,41.6,50.9,8.992,8.445,75.306,1.028,0.961,39.71,8.611
2024-11-14,21.084,52.672,20.9,21.3,43.5,56.8,11.041,9.685,75.301,0.983,0.803,34.583,9.678
2024-11-15,21.089,48.294,20.8,21.3,40.3,57.7,9.743,8.882,75.299,1.012,0.899,37.699,8.972
2024-11-16,20.908,44.49,20.7,21,40.2,52.5,8.362,8.097,75.349,1.04,1.025,41.858,8.386
2024-11-17,21.001,52.148,20.9,21.1,50.7,53.4,10.813,9.542,75.323,0.986,0.823,35.298,9.594
2024-11-18,21.076,49.241,20.9,21.3,39.7,56.9,10.022,9.049,75.303,1.005,0.878,37.032,9.122
2024-11-19,20.702,38.979,20,21.2,36,44.1,6.242,7.01,75.407,1.087,1.253,49.031,7.553
2024-11-20,20.37,40.354,20.1,20.6,35,49.6,6.448,7.118,75.505,1.074,1.255,49.384,7.768
2024-11-21,20.663,45.875,20.5,20.8,43.2,49.2,8.591,8.231,75.419,1.029,1.02,41.868,8.605
2024-11-22,20.732,43.244,20.6,20.8,38.1,50,7.784,7.79,75.399,1.05,1.09,44.028,8.199
2024-11-23,20.548,40.306,20.4,20.7,38,44.7,6.59,7.183,75.452,1.075,1.226,48.345,7.757
2024-11-24,20.741,44.668,20.6,20.9,42.4,47.2,8.269,8.051,75.396,1.038,1.044,42.58,8.417
2024-11-25,20.865,46.671,20.7,21.1,39.8,52.8,9.03,8.473,75.361,1.023,0.969,40.122,8.723
2024-11-26,20.877,37.548,20.3,21.2,35.3,39.7,5.856,6.821,75.358,1.1,1.284,49.792,7.333
2024-11-27,20.198,36.284,20.1,20.6,33.9,40.1,4.76,6.336,75.557,1.113,1.476,56.127,7.155
2024-11-28,20.195,44.585,20.1,20.3,40.3,46.8,7.746,7.784,75.558,1.039,1.129,45.695,8.417
2024-11-29,20.264,43.693,20.2,20.3,41.2,47.3,7.512,7.659,75.537,1.046,1.148,46.226,8.278
2024-11-30,20.17,41.802,20,20.4,37.6,45.2,6.781,7.287,75.566,1.062,1.233,48.891,7.992
2024-12-01,20.068,36.032,19.9,20.2,33.5,39.6,4.545,6.244,75.597,1.115,1.517,57.456,7.119
2024-12-02,19.581,38.846,19.3,19.9,35.9,43.7,5.191,6.543,75.755,1.088,1.472,56.678,7.556
2024-12-03,19.647,41.209,19.4,20.1,38.8,46.7,6.102,6.967,75.733,1.067,1.351,52.985,7.913
2024-12-04,19.6,36.616,19.2,19.9,33.6,41.4,4.36,6.174,75.748,1.109,1.586,59.988,7.217
2024-12-05,19.142,35.448,18.6,19.4,33.7,37.6,3.492,5.818,75.905,1.121,1.764,65.676,7.047
2024-12-06,18.38,36.667,17.3,19.1,34.2,38.9,3.297,5.753,76.187,1.109,1.88,69.964,7.247
2024-12-07,18.232,36.081,17.7,18.3,34.3,37.5,2.938,5.612,76.244,1.115,1.96,72.457,7.16
2024-12-08,18.33,36.832,17.9,18.5,35.5,39.1,3.316,5.762,76.206,1.107,1.882,70.096,7.273
2024-12-09,18.541,40.431,17.9,19.1,38.4,45.3,4.833,6.404,76.125,1.073,1.618,62.163,7.817
2024-12-10,18.119,43.17,17.5,18.6,38.8,47.6,5.395,6.669,76.289,1.05,1.578,61.446,8.244
2024-12-11,18.874,52.866,18.2,19.7,48.4,56.1,9.049,8.541,76.001,0.981,1.09,45.563,9.77
2024-12-12,19.69,45.538,19.1,20.5,38.9,52.2,7.597,7.719,75.719,1.032,1.179,47.69,8.575
2024-12-13,19.169,46.917,18.7,19.8,37.6,56.9,7.56,7.713,75.896,1.021,1.221,49.451,8.802
2024-12-14,19.957,51.852,19.5,20.7,46.7,55.5,9.763,8.928,75.632,0.988,0.96,40.488,9.573
2024-12-15,20.054,48.291,19.8,20.8,45.2,50.6,8.795,8.362,75.602,1.012,1.038,42.945,8.997
2024-12-16,19.783,47.59,19.6,20,43.9,50.6,8.331,8.111,75.688,1.017,1.099,45.096,8.893
2024-12-17,19.771,48.01,19.6,20,44.3,51.1,8.449,8.177,75.692,1.014,1.089,44.771,8.96
2024-12-18,19.994,53.271,19.8,20.2,50.7,55.1,10.2,9.192,75.621,0.979,0.922,39.228,9.808
2024-12-19,20.054,50.69,19.6,20.2,47.3,54.3,9.515,8.777,75.602,0.995,0.975,40.912,9.381
2024-12-20,19.884,45.508,19.7,20,44,48.2,7.765,7.802,75.656,1.032,1.149,46.559,8.566
2024-12-21,19.939,53.849,19.7,20.3,44.3,60.3,10.311,9.262,75.638,0.976,0.916,39.079,9.907
2024-12-22,20.417,54.985,20.3,20.6,52.2,59.4,11.069,9.725,75.491,0.969,0.834,36.03,10.087
2024-12-23,20.53,55.575,20.3,20.8,49.3,59.5,11.336,9.895,75.457,0.965,0.809,35.141,10.185
2024-12-24,20.046,39.194,19.6,20.5,34.8,48.9,5.735,6.783,75.604,1.085,1.364,52.968,7.599
2024-12-25,19.174,33.52,18.8,19.6,30.9,36.8,2.73,5.512,75.894,1.142,1.889,69.169,6.751
2024-12-26,18.872,42.193,18.7,19.1,33.4,49,5.745,6.816,76.002,1.058,1.461,57.104,8.079
2024-12-27,19.05,43.362,18.8,19.2,37.2,50.8,6.302,7.079,75.938,1.048,1.375,54.318,8.254
2024-12-28,18.514,38.906,18.3,18.8,37.7,41.4,4.259,6.153,76.135,1.087,1.708,64.823,7.585
2024-12-29,18.157,38.926,18.1,18.4,37.1,41.2,3.948,6.027,76.274,1.087,1.795,67.809,7.595
2024-12-30,17.86,38.902,17.7,18.1,37.9,40.3,3.673,5.918,76.394,1.087,1.874,70.481,7.597
2024-12-31,17.477,35.763,17.3,17.7,34.6,37.8,2.144,5.318,76.556,1.118,2.207,80.539,7.124
